option,count,percent
Hands-on workshops,69,64.5
Meeting industry practitioners,37,34.6
Team project work,36,33.6
Company visits,35,32.7
Mentorship sessions,34,31.8
Networking with peers,28,26.2
Personalised learning roadmap,28,26.2
Lab visits,27,25.2
Short videos explaining concepts,24,22.4
Hackathon-style challenge,20,18.7
Online project feedback,19,17.8
Recorded sessions I can watch later,17,15.9
Demo day or final presentation,12,11.2
AI tutor or chatbot support,11,10.3
Community chat or peer group,10,9.3
